NUMBER,I/O,TECHNIQUE,FIELD,VALID/INVALID,ID TEST,DESCRIPTION,CREDIT_CARD_NUMBER,ID_CARD,NAME_SURNAME,PHONE_NUMBER,ROOM_TYPE,ARRIVAL,NUM_DAYS,RESULT,"ECS, BV COVERED",freezetime,timestamp,
1,INPUT,CE,CREDIT_CARD_NUMBER,VALID,TC1,VALID CREDIT CARD NUMBER,"5105105105105100","12345678Z","JOSE LOPEZ","+341234567",SINGLE,"01/07/2024",1,450a53be9b39944e62e7164ca5f5aadf,"ECV1, ECV2, ECV3, BVV1, ECV4, BVV2, ECV5, ENV6, ECV7, BVV3, ECV8 ECV16, ECV17, ECV18, ECV","freeze_time(""2024/03/22 13:00:00"")",1711112400.0,"HotelReservation:{'id_card': '12345678Z', 'name_surname': 'JOSE LOPEZ', 'credit_card': '5105105105105100', 'phone_number:': '+341234567', 'reservation_date': 1711112400.0, 'arrival_date': '01/07/2024', 'num_days': 1, 'room_type': 'SINGLE'}"
2,INPUT,CE,CREDIT_CARD_NUMBER,VALID,TC2,"VALID CREDIT CARD NUMBER, 11 CHARS NAME, 2 DAYS AND DOUBLE ROOM","5105105105105100","05270358T",JOSE SANCHO,"+341234567",DOUBLE,"01/07/2024",2,74a961610a0f1c048976007358ba7155,"BVV4, ECV10, BVV8","freeze_time(""2024/03/22 13:00:00"")",1711112400.0,
3,INPUT,CE,CREDIT_CARD_NUMBER,VALID,TC3,"VALID CREDIT CAR NUMBER, 50 CHARS, SUITE, 9 DAYS","5105105105105100",87654123L,Esmeralda Guillermina Pagatzaurtunduagoienengoazua,"+341234567",SUITE,"01/07/2024",9,846940dc519dfeabf68522ff4e71ae8e,"BVV5, ECV11, BVV9","freeze_time(""2024/03/22 13:00:00"")",1711112400.0,
4,INPUT,CE,CREDIT_CARD_NUMBER,VALID,TC4,"VALID CREDIT CAR NUMBER, 49 CHARS, SUITE, 10 DAYS","5105105105105100",87654321X,Esmeralda Guillermina Pagatzaurtunduagoienengoaza,"+341234567",SUITE,"01/07/2024",10,2e6701dd0b065faa56d7199d878d928e,"BVV6, BVV10, ","freeze_time(""2024/03/22 13:00:00"")",1711112400.0,
5,INPUT,CE,CREDIT_CARD_NUMBER,INVALID,TC5,NOT LUHN CREDIT CARD,"5105105105105101",12345678Z,Esmeralda Guillermina Pagatzaurtunduagoienengoaza,"+341234567",SUITE,"01/07/2024",10,Invalid credit card number (not luhn),ECNV1,,,
6,INPUT,CE,CREDIT_CARD_NUMBER,INVALID,TC6,NOT A NUMERIC STRING,"THIS IS NOT A NUMBER",12345678Z,Esmeralda Guillermina Pagatzaurtunduagoienengoaza,"+341234567",SUITE,"01/07/2024",10,Invalid credit card format,ECNV2,,,
7,INPUT ,CE,CREDIT_CARD_NUMBER,INVALID,TC7,17 CHARACTERES,"51051051051051000",12345678Z,Esmeralda Guillermina Pagatzaurtunduagoienengoaza,"+341234567",SUITE,"01/07/2024",10,Invalid credit card format,"ECNV3, BVNV1",,,
8,INPUT ,CE,CREDIT_CARD_NUMBER,INVALID,TC8,15 CHARACTERES,"510510510510510",12345678Z,Esmeralda Guillermina Pagatzaurtunduagoienengoaza,"+341234567",SUITE,"01/07/2024",10,Invalid credit card format,"ECNV4, BVNV2",,,
9,INPUT ,CE,IDCARD,INVALID,TC9,INVALID LETTER,"5105105105105100",12345678A,Esmeralda Guillermina Pagatzaurtunduagoienengoaza,"+341234567",SUITE,"01/07/2024",10,Invalid IdCard letter,ECNV5,,,
10,INPUT ,CE,IDCARD,INVALID,TC10,NOT STRING,"5105105105105100",12345678,Esmeralda Guillermina Pagatzaurtunduagoienengoaza,"+341234567",SUITE,"01/07/2024",10,Invalid IdCard format,ECNV6,,,
11,INPUT ,CE,IDCARD,INVALID,TC11,9 NUMBERS 1 LETTER,"5105105105105100",123456789Z,Esmeralda Guillermina Pagatzaurtunduagoienengoaza,"+341234567",SUITE,"01/07/2024",10,Invalid IdCard format,ECNV7- BVNV3,,,
12,INPUT ,CE,IDCARD,INVALID,TC12,7 NUMBERS 1 LETTER,"5105105105105100",1234567Z,Esmeralda Guillermina Pagatzaurtunduagoienengoaza,"+341234567",SUITE,"01/07/2024",10,Invalid IdCard format,ECNV8-BVNV4,,,
